sequence,fugr_psnr,fugr_tde,best_psnr_method,best_psnr_delta_vs_fugr,best_tde_method,best_tde_delta_vs_fugr,best_nonfugr_psnr_method,best_nonfugr_psnr_delta_vs_fugr,best_nonfugr_tde_method,best_nonfugr_tde_delta_vs_fugr
000,27.214561369770678,0.040728095918893814,Lambda-0.95,1.8393934098526188e-05,FUGR-C,0.0,Lambda-0.95,1.8393934098526188e-05,ResidualAtten-t0.020-g0.95,4.731118679046631e-07
003,30.331641951118307,0.02634090930223465,Lambda-1.05,0.0001603320463878788,FUGR-C,0.0,Lambda-1.05,0.0001603320463878788,ResidualAtten-t0.020-g0.95,3.110617399215698e-07
006,29.61408915528052,0.029686754569411278,Lambda-1.05,9.774671597639895e-05,FUGR-C,0.0,Lambda-1.05,9.774671597639895e-05,ResidualAtten-t0.020-g0.95,3.0174851417541504e-07
010,31.40584074959962,0.021826589480042458,Lambda-1.05,7.761237629466677e-05,FUGR-C,0.0,Lambda-1.05,7.761237629466677e-05,ResidualAtten-t0.020-g0.95,2.644956111907959e-07
011,23.544858520411307,0.06459752470254898,Lambda-0.85,0.0002783970484756537,FUGR-C,0.0,Lambda-0.85,0.0002783970484756537,ResidualAtten-t0.020-g0.95,2.384185791015625e-07
018,24.6292374452174,0.06118657812476158,Lambda-0.85,0.0001388212368880204,FUGR-C,0.0,Lambda-0.85,0.0001388212368880204,ResidualAtten-t0.020-g0.95,1.1175870895385742e-07
020,27.370255110492813,0.03864799439907074,Lambda-0.85,0.0009678646908710675,ResidualAtten-t0.020-g0.95,-1.1548399925231934e-07,Lambda-0.85,0.0009678646908710675,ResidualAtten-t0.020-g0.95,-1.1548399925231934e-07
026,32.88681668565649,0.01961958035826683,Lambda-0.95,2.1566193773026043e-05,FUGR-C,0.0,Lambda-0.95,2.1566193773026043e-05,ResidualAtten-t0.020-g0.95,2.812594175338745e-07
028,33.54929112582312,0.018498504534363747,Lambda-1.20,0.003055765993138948,FUGR-C,0.0,Lambda-1.20,0.003055765993138948,Lambda-1.05,2.3469328880310059e-07
029,34.4297411967602,0.015481977723538876,Lambda-0.85,0.0007194071021814352,FUGR-C,0.0,Lambda-0.85,0.0007194071021814352,ResidualAtten-t0.020-g0.95,1.4621764421463013e-07
