sequence,no_ref_motion_fugr,no_ref_motion_basic,residual_energy,residual_instability
000,0.2188398391008377,0.21888940036296844,0.0008493369678035378,0.001520770019851625
003,0.24033014476299286,0.24042105674743652,0.0006385735468938947,0.0011810420546680689
006,0.191215381026268,0.19128327071666718,0.0006488545914180577,0.001160833635367453
010,0.14307020604610443,0.14312440156936646,0.00047522486420348287,0.0008811959414742887
011,0.19169844686985016,0.19178278744220734,0.0010671780910342932,0.001874676439911127
018,0.17058928310871124,0.17070840299129486,0.001128442701883614,0.0019779065623879433
020,0.15484781563282013,0.15492266416549683,0.0007490441203117371,0.001367613091133535
026,0.10754060745239258,0.10760196298360825,0.0004780848103109747,0.0008701844490133226
028,0.15517379343509674,0.15520425140857697,0.0004512856248766184,0.0008684626664035022
029,0.1904643028974533,0.19050152599811554,0.0004240845737513155,0.00081051723100245
