policy,num_sequences,num_frames,psnr,ssim,sharpness,tde,delta_psnr_vs_fugr,delta_tde_vs_fugr
FUGR-C,5,20,30.573068312790003,0.8276376376549403,0.0010731067653978244,0.030686927028000355,0.0,0.0
Fixed-Lambda-0.85,5,20,30.572643147546824,0.8276578068733216,0.0010694948374293744,0.030691786482930184,-0.0004251652431790376,4.859454929829338e-06
Fixed-Lambda-0.95,5,20,30.573022877489148,0.8276460319757462,0.001069500597077422,0.030688542500138284,-4.5435300854990146e-05,1.6154721379293968e-06
Fixed-Lambda-1.05,5,20,30.573019084394197,0.8276276270548502,0.0010905332368565724,0.030689319409430028,-4.922839580601135e-05,2.392381429672935e-06
Fixed-Lambda-1.20,5,20,30.572297380192378,0.8275876353184384,0.0010907207586569711,0.030696533620357513,-0.0007709325976250625,9.606592357158661e-06
Fixed-ResidualAtten-t0.020-g0.95,5,20,30.57304291492892,0.8276384125153223,0.0010695005999878048,0.030687160417437555,-2.539786108357589e-05,2.333894372000267e-07
Fixed-ResidualAtten-t0.010-g0.95,5,20,30.573030186438142,0.8276390850543975,0.0010695006174501031,0.030687336809933186,-3.8126351860512386e-05,4.0978193283081055e-07
Fixed-ResidualMedian-b0.25,5,20,30.572273840198896,0.827644117673238,0.001072994212154299,0.03069516848772764,-0.0007944725911066541,8.241459727286599e-06
Fixed-ResidualClip-c1.20,5,20,30.56552842164273,0.827586547533671,0.0010680399922421203,0.030713988281786442,-0.007539891147274602,2.706125378608773e-05
LearnedSelector-margin0.0000,5,20,30.57256980719692,0.8276227355003357,0.0010847976896911859,0.030690367706120013,-0.0004985055930823989,3.440678119658036e-06
LearnedSelector-margin0.0001,5,20,30.57261076506604,0.8276255150636038,0.0010768683539936319,0.030688819102942945,-0.0004575477239612269,1.892074942590194e-06
LearnedSelector-margin0.0005,5,20,30.573068312790003,0.8276376376549403,0.0010731067653978244,0.030686927028000355,0.0,0.0
LearnedSelector-margin0.0010,5,20,30.573068312790003,0.8276376376549403,0.0010731067653978244,0.030686927028000355,0.0,0.0
LearnedSelector-margin0.0020,5,20,30.573068312790003,0.8276376376549403,0.0010731067653978244,0.030686927028000355,0.0,0.0
TestPerFrameOracle,5,20,30.5743039230063,0.8276624709367753,0.0010746269021183253,0.03068927153944969,0.0012356102162982552,2.344511449335618e-06
TestPerFrameOracleNonFUGR,5,20,30.574302541423002,0.8276624590158462,0.0010745525709353388,0.030689281038939954,0.001234228632998935,2.3540109395994713e-06
