split,method,num_sequences,num_frames,psnr,ssim,sharpness,tde,delta_psnr_vs_fugr,delta_ssim_vs_fugr,delta_tde_vs_fugr,beta,sigma
calibration,FUGR-C,5,20,28.422198349236083,0.8009426365296045,0.0015015779616078361,0.036635974794626235,0.0,0.0,0.0,,
calibration,ControlNet-FUGR,5,20,21.83774084173134,0.5911104972163836,0.001017667370615527,0.08147010579705238,-6.5844575075047445,-0.20983213931322087,0.04483413100242615,,
calibration,BasicVSR,5,20,28.408100670666915,0.8007173160711926,0.0015008713176939636,0.03669280223548412,-0.014097678569168437,-0.00022532045841194837,5.682744085788727e-05,,
test,FUGR-C,5,20,30.573068312790003,0.8276376376549403,0.0010731067653978244,0.030686927028000355,0.0,0.0,0.0,,
test,ControlNet-FUGR,5,20,23.064964685135806,0.6291647583246232,0.0007821145132766105,0.07184006869792939,-7.508103627654197,-0.1984728793303171,0.04115314166992903,,
test,BasicVSR,5,20,30.554015592610348,0.8274916956822078,0.0010666362271877007,0.030733073689043523,-0.01905272017965487,-0.00014594197273243292,4.61466610431685e-05,,
calibration,RGB-HF-b0.05-s0.3,5,20,28.422266363956773,0.8009439905484517,0.0014220631797797977,0.03663604632019997,6.801472068929115e-05,1.3540188471550252e-06,7.152557373463209e-08,0.05,0.3
calibration,RGB-HF-b0.05-s0.4,5,20,28.4228753505883,0.8009533375501633,0.0014217195479432122,0.036636770516633985,0.0006770013522157114,1.0701020558778751e-05,7.957220077500771e-07,0.05,0.4
calibration,RGB-HF-b0.05-s0.5,5,20,28.42381828968869,0.8009616484244664,0.0014222254685591906,0.036638262867927554,0.0016199404526062722,1.9011894861864498e-05,2.288073301319471e-06,0.05,0.5
calibration,RGB-HF-b0.05-s0.8,5,20,28.425091597986686,0.8009085188309351,0.0014242963545257226,0.03664447702467442,0.002893248750602595,-3.41176986694558e-05,8.502230048182402e-06,0.05,0.8
calibration,RGB-HF-b0.10-s0.3,5,20,28.422333827988602,0.8009451856215796,0.0014221730350982397,0.036636118590831754,0.0001354787525187362,2.5490919750570384e-06,1.437962055192421e-07,0.1,0.3
calibration,RGB-HF-b0.10-s0.4,5,20,28.423504298181246,0.8009620686372122,0.0014217289834050461,0.036637571081519126,0.0013059489451627826,1.9432107607686433e-05,1.5962868928909302e-06,0.1,0.4
calibration,RGB-HF-b0.10-s0.5,5,20,28.42510434511061,0.8009699910879136,0.001421252216096036,0.03664056994020939,0.002905995874527889,2.7354558309045096e-05,4.595145583152771e-06,0.1,0.5
calibration,RGB-HF-b0.10-s0.8,5,20,28.425769763659808,0.8008095810810725,0.0013905046653235331,0.036656178161501886,0.0035714144237246614,-0.00013305544853203788,2.0203366875651274e-05,0.1,0.8
calibration,RGB-HF-b0.20-s0.3,5,20,28.422466786506465,0.8009473522504169,0.0014220318087609484,0.03663626238703728,0.0002684372703818383,4.715720812398239e-06,2.875924110454231e-07,0.2,0.3
calibration,RGB-HF-b0.20-s0.4,5,20,28.42461357688548,0.8009751011927921,0.0014216021430911497,0.036639169231057166,0.002415227649397167,3.246466318762575e-05,3.1944364309310913e-06,0.2,0.4
calibration,RGB-HF-b0.20-s0.5,5,20,28.426672568171206,0.8009548167387643,0.0014016591245308518,0.03664632998406887,0.004474218935122565,1.218020915982887e-05,1.0355189442638746e-05,0.2,0.5
calibration,RGB-HF-b0.20-s0.8,5,20,28.42048336362268,0.8004166553417843,0.0013000166858546437,0.03670260570943355,-0.0017149856134039965,-0.0005259811878202125,6.663091480731825e-05,0.2,0.8
calibration,RGB-HF-b0.30-s0.3,5,20,28.422598756264364,0.8009495983521143,0.0014218549098586664,0.03663641102612018,0.00040040702828036956,6.961822509810034e-06,4.3623149394850236e-07,0.3,0.3
calibration,RGB-HF-b0.30-s0.4,5,20,28.42552779513801,0.8009817143281301,0.0014195537456544115,0.03664081394672394,0.003329445901925965,3.907779852563298e-05,4.839152097702026e-06,0.3,0.4
calibration,RGB-HF-b0.30-s0.5,5,20,28.42690193267307,0.8008974333604175,0.001367812423268333,0.036655638739466666,0.00470358343698507,-4.520316918699141e-05,1.9663944840431213e-05,0.3,0.5
calibration,RGB-HF-b0.30-s0.8,5,20,28.406373896842695,0.7997627536455789,0.0012125959503464401,0.03678514249622822,-0.01582445239338881,-0.001179882884025596,0.0001491677016019835,0.3,0.8
calibration,RGB-HF-b0.40-s0.3,5,20,28.42272773108807,0.8009517113367716,0.001421854938962497,0.036636557802557944,0.0005293818519866988,9.074807167053223e-06,5.830079317092896e-07,0.4,0.3
calibration,RGB-HF-b0.40-s0.4,5,20,28.426244805338957,0.8009818842013677,0.0014134821540210396,0.036642680317163466,0.004046456102873464,3.924767176322064e-05,6.705522537231445e-06,0.4,0.4
calibration,RGB-HF-b0.40-s0.5,5,20,28.425791162955925,0.8007975389560065,0.0013311801681993528,0.03666969574987888,0.0035928137198411036,-0.00014509757359804087,3.372095525264879e-05,0.4,0.5
calibration,RGB-HF-b0.40-s0.8,5,20,28.383539838585655,0.7988476445277533,0.0011331499234074726,0.03690527528524399,-0.03865851065042847,-0.002094992001851259,0.00026930049061775485,0.4,0.8
calibration,RGB-HF-b0.50-s0.3,5,20,28.422856027686816,0.8009537587563196,0.0014218044583685697,0.036636699736118314,0.0006576784507323907,1.1122226715065686e-05,7.249414920793007e-07,0.5,0.3
calibration,RGB-HF-b0.50-s0.4,5,20,28.426765724105582,0.8009755204121272,0.0014036954700713978,0.03664492443203926,0.004567374869498764,3.288388252264962e-05,8.94963741302629e-06,0.5,0.4
calibration,RGB-HF-b0.50-s0.5,5,20,28.423341147881416,0.8006550421317419,0.001294367469381541,0.03668899685144424,0.0011427986453327321,-0.00028759439786263385,5.302205681800842e-05,0.5,0.5
calibration,RGB-HF-b0.50-s0.8,5,20,28.35213711409218,0.7976725548505783,0.0010625157738104463,0.03706308789551258,-0.07006123514390339,-0.0032700816790262044,0.0004271131008863477,0.5,0.8
calibration,RGB-HF-b0.60-s0.3,5,20,28.422982420175565,0.8009558359781901,0.0014217329560779035,0.03663684017956257,0.0007840709394812961,1.3199448585576867e-05,8.653849363354782e-07,0.6,0.3
calibration,RGB-HF-b0.60-s0.4,5,20,28.42709093013072,0.800963314374288,0.0013918298674980179,0.036647682264447215,0.004892580894637177,2.06778446835143e-05,1.170746982098042e-05,0.6,0.4
calibration,RGB-HF-b0.60-s0.5,5,20,28.41955666889357,0.8004699776570003,0.0012584595970110968,0.03671378046274185,-0.0026416803425135527,-0.0004726588726041703,7.780566811561862e-05,0.6,0.5
calibration,RGB-HF-b0.60-s0.8,5,20,28.31238032286141,0.796239639321963,0.0010011923557613045,0.0372577965259552,-0.10981802637467197,-0.004702997207641557,0.0006218217313289642,0.6,0.8
test,RGB-HF-b0.60-s0.4,5,20,30.58275022492244,0.8276850859324136,0.000997553364140913,0.030688067711889744,0.009681912132435855,4.7448277473383094e-05,1.140683889389732e-06,0.6,0.4
