sequence,frame,fugr_psnr,freqfusion_psnr,delta_psnr
000,00000020,27.33649900109118,27.3402328672991,0.0037338662079200446
000,00000040,27.006627421968872,27.00919998911217,0.002572567143296567
000,00000060,27.384174317137607,27.384809963479153,0.0006356463415464475
000,00000080,27.13094473888505,27.131077927089393,0.00013318820434449208
003,00000020,31.44090661428997,31.440651590359373,-0.0002550239305953994
003,00000040,30.59401392133832,30.585618275007867,-0.008395646330452422
003,00000060,29.96797356278058,29.99885176126803,0.030878198487449993
003,00000080,29.323673706064373,29.33902876437458,0.015355058310206005
006,00000020,30.986371520948186,30.9831130000913,-0.003258520856885383
006,00000040,29.821062672124107,29.822711133169815,0.0016484610457077054
006,00000060,30.251030067003896,30.255512724929527,0.004482657925631628
006,00000080,27.39789236104589,27.397366419634093,-0.0005259414117979588
010,00000020,32.083644062946675,32.07625023438574,-0.0073938285609358445
010,00000040,31.340216542150433,31.3311767661445,-0.009039776005931088
010,00000060,30.917068974871604,30.914344394562665,-0.002724580308939295
010,00000080,31.282433418429783,31.276584152142355,-0.005849266287427213
011,00000020,24.56526715416688,24.56294757313049,-0.0023195810363887404
011,00000040,23.88936214713885,23.888270343184573,-0.0010918039542779923
011,00000060,22.985238843639802,22.98684368262293,0.0016048389831269105
011,00000080,22.739565936699687,22.741038019160857,0.0014720824611700323
018,00000020,23.88807280798344,23.88878526413848,0.0007124561550391206
018,00000040,24.43961924032996,24.443547028574915,0.003927788244954655
018,00000060,24.861467393019346,24.868351138112573,0.006883745093226423
018,00000080,25.327790339536854,25.332181884455206,0.004391544918352253
020,00000020,28.387460713426425,28.382208258800116,-0.005252454626308634
020,00000040,26.863106362798487,26.861516599596676,-0.001589763201810257
020,00000060,27.03628365257479,27.035796661091513,-0.0004869914832781319
020,00000080,27.19416971317155,27.192035302102827,-0.002134411068723807
026,00000020,32.078838152306936,32.086533515594354,0.007695363287417933
026,00000040,33.39984172168541,33.424018786080055,0.0241770643946424
026,00000060,32.48144795377745,32.49199503402867,0.01054708025122153
026,00000080,33.587138914856176,33.611152645920725,0.024013731064549404
028,00000020,33.430145399864855,33.40870227471133,-0.021443125153524534
028,00000040,32.96123635238958,32.954065130113804,-0.007171222275772493
028,00000060,33.01051159576626,33.005946820829465,-0.004564774936795857
028,00000080,34.79527115527179,34.82116187599956,0.02589072072776588
029,00000020,35.26760631867508,35.297517799321376,0.029911480646298116
029,00000040,33.64552856265842,33.64993162962097,0.004403066962552771
029,00000060,33.45307753627975,33.44793527412652,-0.0051422621532282164
029,00000080,35.35275236942755,35.35696432939811,0.004211959970561452
