sequence,num_frames,fugr_psnr,freqfusion_psnr,delta_psnr
026,4,32.88681668565649,32.90342499540595,0.016608309749457817
003,4,30.331641951118307,30.34103759775246,0.00939564663415382
029,4,34.4297411967602,34.438087258116745,0.008346061356547807
018,4,24.6292374452174,24.633216328820293,0.003978883602894001
000,4,27.214561369770678,27.216330186744955,0.0017688169742768878
006,4,29.61408915528052,29.614675819456185,0.0005866641756639979
011,4,23.544858520411307,23.54477490452471,-8.361588659511199e-05
028,4,33.54929112582312,33.54746902541354,-0.0018221004095764215
020,4,27.370255110492813,27.36788920539778,-0.002365905095032872
010,4,31.40584074959962,31.399588886808814,-0.0062518627908048074
